卦番号,卦の名前,読み,キーワード,資質,性格,能力,傾向（くせ）,長所,短所,対人関係,適職,開運アドバイス
53,風山漸,ふうざんぜん,順序と漸進,着実性、順序を守る力、持続力、計画性,真面目、慎重、一歩一歩進む、時間をかける,長期的な計画を着実に実行する能力、順序立てて物事を進める力,進むのが遅い、融通が利かない,順序を踏んで進むため、失敗が少なく、着実に目標を達成できる。,スピード感に欠け、チャンスを逃すことがある。,結婚の象徴。婚約から結婚へと、順序正しく進むことで、幸せな関係が築ける。,公務員、研究者、職人、長期プロジェクトの担当者,焦りは禁物。正しい順序と手続きを大切にし、一歩ずつ着実に進むこと。
54,雷沢帰妹,らいたくきまい,軽率な結婚と序列無視,純粋な情熱、行動力、若さ,情熱的、衝動的、後先を考えない、わがまま,瞬発的な行動力,順序を無視する、焦って失敗する、感情に流される,思い立ったらすぐ行動できる（結果は伴わないことが多い）,軽率で間違いを犯しやすい、長期的な視点に欠ける,一時的な情熱で関係を結び、長続きしない。不適切な関係に陥りやすい。,（特定の適職はない）短期のアルバイトなど、責任の少ない立場,順序や礼儀を守ることが何よりも大切。目先の欲に惑わされず、長期的な視点を持つこと。
55,雷火豊,らいかほう,盛大と明暗,豊かさ、華やかさ、人を動かす力、カリスマ性,明るく、派手好き、エネルギッシュ、自信家,大きな事業を成功させる力、人を惹きつける魅力,絶頂期が長続きしない、良い時に油断する,カリスマ性で人を率い、大きな成功を収めることができる,盛者必衰。栄華が去った後の落差が激しい。,太陽のように人を惹きつけるが、その光が強すぎて、人が離れることもある。,スター、経営者、イベントプロデューサー、指導者,盛大な時こそ、憂いを忘れないこと。驕らず、謙虚な気持ちでいれば、豊かさを保てる。
56,火山旅,かざんりょ,旅と孤独,適応能力、孤独への耐性、客観的な視点,孤独を好む、根無し草、慎み深い、常にアウェイな感覚,新しい環境に適応する能力、状況を冷静に判断する力,居場所がないと感じる、心を閉ざしがち,様々な環境で生き抜く知恵と強さを持つ。,精神的な安らぎが得にくい、深く信頼できる人ができにくい。,旅先での出会いのように、一時的で表面的な付き合いが多くなる。,転勤の多い仕事、フリーランス、ジャーナリスト、旅行作家、コンサルタント,旅先では、謙虚で慎み深い態度を保つこと。現地のルールに従い、トラブルを避ける。
57,巽為風,そんいふう,従順と浸透,柔軟性、従順さ、伝達能力、影響力,穏やか、優柔不断、人に合わせるのがうまい、社交的,情報を広める力、交渉力、人心を掴む力,自分の意見がない、主体性に欠ける、人の影響を受けやすい,誰とでもうまくやれる、物事を円滑に進める。,決断力がない、八方美人に見られる。,調整役として重宝される。人の噂話などを広めやすい面も。,広報、広告、営業、ジャーナリスト、コンサルタント、通訳,従うだけでなく、自分の軸を持つこと。従うべき相手や情報を正しく見極める。
58,兌為沢,だいたく,喜びと交流,社交性、喜び、表現力、ユーモアのセンス,明るい、おしゃべり好き、楽しいことが好き、愛嬌がある,コミュニケーション能力、人を喜ばせる力、説得力,口が軽い、軽薄に見られることがある、楽しみに溺れやすい,周囲を明るくし、良好な人間関係を築ける,中身がない、誠実さに欠けると思われることがある,人気者で友人が多い。話の中心にいることが多い。恋愛上手。,接客業、営業、タレント、司会者、カウンセラー,口は災いのもと。言葉に責任を持つこと。内面の充実も心がける。
59,風水渙,ふうすいかん,離散と人心収攬,人心収攬の力、拡散力、カリスマ性、先見の明,大局的な視点を持つ、私心がない、人々をまとめるのが上手,バラバラになった人心を一つにまとめる能力、情報を広める力,細かいことには無頓着,困難な状況で、人々をまとめ上げ、危機を乗り越えることができる。,基盤が固まるまでは不安定。,共通の目標や信念を掲げることで、バラバラの人々をまとめるリーダーとなる。,宗教家、政治家、経営者、NPOリーダー,私心を捨て、大いなる目的のために行動すること。祭祀や共通の拠り所を設けて人心をまとめる。
60,水沢節,すいたくせつ,節度と制限,節度、自制心、計画性、区切りをつける力,ケジメを大事にする、自己管理ができる、真面目、少し窮屈,マネジメント能力、計画遂行能力、自己コントロール能力,規則でがんじがらめになる、ケチだと思われる,目標のために楽しみを我慢し、計画通りに物事を進められる,融通が利かない、人にも自分にも厳しすぎる,礼儀正しく、節度ある付き合いをする。親密になるまで時間がかかる。,経理、法務、管理者、公務員、設計士,厳しすぎる節度はかえって害になる。時には息抜きをし、楽しむことも大切。
61,風沢中孚,ふうたくちゅうふ,誠実と真心,誠実さ、真心、信頼、人を感化する力,裏表がない、正直、素直、誠意がある,人の心を開かせる力、信頼関係を築く力,お人好し、人を信じすぎる,誠実な人柄で、困難な状況さえも動かすことができる,騙されやすい、損な役回りを引き受けやすい,損得なく付き合い、深い信頼関係を築く。動物にも好かれるようなタイプ。,教育者、聖職者、福祉関係、人と信頼を築くすべての仕事,言葉だけでなく、行動で誠意を示すこと。自分の真心が、必ず相手に伝わると信じる。
62,雷山小過,らいざんしょうか,小さな過ちと謙虚,謙虚さ、慎重さ、細やかな配慮,控えめ、臆病、石橋を叩いて渡る、自分に自信がない,細かい点に気づく能力、リスク管理能力,やり過ぎず、やりなさ過ぎる。中途半端。,大きな失敗をしない、謙虚な姿勢が人に好かれる。,大胆な行動がとれず、大きなチャンスを逃す。,常に下手に出ることで、人間関係を円滑に保つ。,秘書、事務職、校正者、検査官、サポート役,大きな望みは捨て、分相応を心がけること。上を目指すより、足元を固める時。
63,水火既済,すいかきせい,完成と維持,バランス感覚、完成させる力、維持管理能力,整然としている、完璧主義、安定を好む、保守的,物事を完成させる能力、秩序を維持する能力,油断しやすい、小さな乱れを見過ごす、変化を嫌う,物事を完璧な形で仕上げ、安定した状態を保つことができる,完成した後は、衰退に向かいやすい。現状維持に固執する。,安定した関係を好む。秩序やルールを重んじる。,管理者、公務員、経理、システムの保守・運用,完成は新たな混乱の始まり。小さな綻びに注意し、常に初心を忘れず、将来に備えること。
64,火水未済,かすいびせい,未完成と希望,可能性、チャレンジ精神、状況判断力,慎重、思慮深い、混乱の中でも希望を失わない,混沌とした状況を整理し、道筋をつける能力,チャンスを目前にしてためらう、準備不足,物事が完成する前の、無限の可能性を秘めている。,見通しが立たず、途中で挫折しやすい。,秩序がなく、ばらばらな状態。協力体制を築くのが難しい。,新規プロジェクトの立ち上げ、研究開発、企画,未完成の状態。焦らず、自分の置かれた立場をよく見極め、慎重に行動すること。これから物事が始まっていく。
